LOCATION,TIME,eu,ea,gr5y,pop_work_5,gdp_per_work_5,trade_in_goods_5,inflation_5,years
GRC,1995,1.0,1.0,0.14477409333183852,682.4311037260001,198.42017203009422,40.1283071278959,20.43349,1995
GRC,1996,1.0,1.0,0.13936952771872343,693.065724624,208.24413742044422,38.5927873562323,19.45585,1996
GRC,1997,1.0,1.0,0.18876411852500719,700.501344996,212.20410790338858,38.8225929221162,15.87707,1997
GRC,1998,1.0,1.0,0.2501041309043483,706.255434453,212.01457389984117,37.0258986428716,14.41127,1998
GRC,1999,1.0,1.0,0.23783807284932507,711.0836664359999,219.37300540433645,36.1631219121177,10.87408,1999
GRC,2000,1.0,1.0,0.266617156704407,715.8715183200001,227.14627253449854,37.1078808118883,8.934514,2000
GRC,2001,1.0,1.0,0.31266579928771776,720.326979099,237.26702450292447,37.496233468866905,8.194549,2001
GRC,2002,1.0,1.0,0.342673573901995,724.80603304,252.26062927915723,39.2742287117671,5.536003,2002
GRC,2003,1.0,1.0,0.3505448258285885,729.412575773,265.04029464411667,42.268280224818,4.766226,2003
GRC,2004,1.0,1.0,0.40552827680824544,731.7739406040001,271.5482582448684,47.3775984157286,2.636638,2004
GRC,2005,1.0,1.0,0.33405157586662554,733.314412578,287.7073658736509,58.415677493732204,3.151177,2005
GRC,2006,1.0,1.0,0.37334880192282893,731.12990299,311.45230836374986,56.1399692522708,3.373966,2006
GRC,2007,1.0,1.0,0.2965602755213358,727.9498129840001,338.7036806690123,50.348996239296696,3.629363,2007
GRC,2008,1.0,1.0,0.29339635271503656,728.8040497520001,357.9487985676963,48.1900933484489,3.530651,2008
GRC,2009,1.0,1.0,0.19721684527690572,730.1930797260001,381.6687554811903,49.8984416051344,2.898848,2009
GRC,2010,1.0,1.0,0.09894091133149184,732.19473824,383.81646483217975,50.900864134706694,3.545073,2010
GRC,2011,1.0,1.0,-0.08881923037194983,734.573516096,427.73265454745535,52.8502386555124,3.195946,2011
GRC,2012,1.0,1.0,-0.1333773025968629,736.76695521,439.1497375283051,57.5243742472488,2.895001,2012
GRC,2013,1.0,1.0,-0.13856395251255668,738.315813672,462.9696705261877,59.3297157181228,4.152796,2013
